element_type,hierarchy_level,dom_depth,text,selector,is_visible,x,y,width,height,attributes
button,1,11,Sign up,button.sc-ca1236ad-1.htoTrT,True,1687.109375,10.0,66.9375,28,"{""type"": ""button"", ""value"": ""Sign up"", ""color"": ""accent"", ""aria-label"": ""Sign up"", ""class"": ""sc-ca1236ad-1 htoTrT"", ""_overlay_score"": 0.0}"
button,1,13,Press Enter to start from scratch,button.sc-ca1236ad-1.iboJPx,True,602.0,294.0,256.4375,28,"{""type"": ""button"", ""value"": ""Press Enter to start from scratch"", ""aria-label"": ""Press Enter to start from scratch"", ""class"": ""sc-ca1236ad-1 iboJPx"", ""_overlay_score"": 0.0}"
button,1,17,Get started with templates,button.sc-ca1236ad-1.iboJPx,True,602.0,558.640625,216.25,28,"{""type"": ""button"", ""value"": ""Get started with templates"", ""href"": ""/help/form-templates"", ""target"": ""_blank"", ""aria-label"": ""Get started with templates"", ""class"": ""sc-ca1236ad-1 iboJPx"", ""_overlay_score"": 0.0}"
link,1,16,Get started with templates,a,True,602.0,558.640625,216.25,28,"{""target"": ""_blank"", ""tabindex"": ""-1"", ""aria-label"": ""Get started with templates"", ""href"": ""/help/form-templates"", ""_overlay_score"": 0.0}"
button,4,15,Untitled,button.sc-ca1236ad-1.grYHPo,True,48.0,10.0,65.140625,28,"{""type"": ""button"", ""href"": ""/create"", ""value"": ""Untitled"", ""aria-label"": ""Untitled"", ""class"": ""sc-ca1236ad-1 grYHPo"", ""_overlay_score"": 0.0}"
button,4,11,Customize,button.sc-ca1236ad-1.grYHPo,True,1590.984375,10.0,88.125,28,"{""type"": ""button"", ""value"": ""Customize"", ""aria-label"": ""Customize"", ""class"": ""sc-ca1236ad-1 grYHPo"", ""_overlay_score"": 0.0}"
button,4,11,Preview,button.sc-ca1236ad-1.dkyMgE,True,1762.046875,10.0,70.015625,28,"{""type"": ""button"", ""value"": ""Preview"", ""disabled"": """", ""aria-label"": ""Preview"", ""class"": ""sc-ca1236ad-1 dkyMgE"", ""_overlay_score"": 0.0}"
button,4,11,Publish,button.sc-ca1236ad-1.dkyMgE,True,1840.0625,10.0,65.9375,28,"{""type"": ""button"", ""value"": ""Publish"", ""disabled"": """", ""aria-label"": ""Publish"", ""class"": ""sc-ca1236ad-1 dkyMgE"", ""_overlay_score"": 0.0}"
button,4,13,Use a template,button.sc-ca1236ad-1.iboJPx,True,602.0,332.0,139.796875,28,"{""type"": ""button"", ""value"": ""Use a template"", ""aria-label"": ""Use a template"", ""class"": ""sc-ca1236ad-1 iboJPx"", ""_overlay_score"": 0.0}"
button,4,17,Create your first form,button.sc-ca1236ad-1.iboJPx,True,602.0,520.640625,183.875,28,"{""type"": ""button"", ""value"": ""Create your first form"", ""href"": ""/help/create-a-form"", ""target"": ""_blank"", ""aria-label"": ""Create your first form"", ""class"": ""sc-ca1236ad-1 iboJPx"", ""_overlay_score"": 0.0}"
